,reviews
576,They have an excellent delivery system. Extremely happy with the delivery system. When I got the phone I was unable to hear things properly. I thought it was not working well. But the problem is there is a plastic layer on the screen you have to remove it and then things will be fine.
577,One star deducted becoz of d unexpected late delivery..otherwise it's gud..genuine new product..
578,"Pros:1) Awesome build quality.2) One of the best designed phone.3) Amazing sound quality through speaker, loudspeaker and headset.4) Excellent display is the best part.5) Updated to iOS 9.Cons:1) Apple doesn't provides access to files directly. You need a PC with latest version of iTunes installed. So you need to move songs and files from PC to phone and vice versa.2) Not upgradeable to iOS 10 since it launched in 2011. That means decreasing apps support.3) Comes with proprietory charging and data syncing cable. So take of the care of those."
579,Good phone overall but lacks storage capacity. Apple has chosen this product wisely for Indian customers driven by price but keen on showing off. iOS 7 works Okay on the phone.Overall Satisfactory buy.
580,Excellent service from amazon...completely satisfied with the product...i am happy to get the iPhone at such a price...keep rocking amazon.
581,it is hanging a lot....... it came with so many scratchBUT NOW I WILL NEVER BUY ANY PRODUCT FROM  AMAZONEI HATE YOU BLUDY CHEATERS
582,Not bad ...Satisfied with the delivery time ..Bt when I opened my apple 4s .. And started charging my phone .. My happiness when off into the air ... Because my charger was nt working and I got the dummy on
583,"This a pathetic phone, I have purchased this on 12th May. This phone is too slow & I am using only incoming & outgoing. It's consume much space to install any application & you can't enjoy  WhatsApp, hike & browsing are very slow.My major concern is 'touch', I don't thing that this is original iPhone because touch is like a ordenary phone."
584,Good
585,GOOD BUT MOBILE IS GETTING HEATED UP WHEN CHARGING WITH ADAPTER AND NORMAL WITH SYSTEM CONNECTED CHARGING.CAN ANY ONE HELP ME WHAT COULD BE THE PROBLEM
586,Sexiest phone ever. Just love the piece. A must have phone.
587,Good quality ! Amazon lag in shipping ! worst shipping !!
588,"As expected, it is the best phone.Best in PerformanceBest in LooksMost User FriendlyGo for it............I am satisfied !!"
589,heating problem is their
590,Not a good phoneMemory is very less after showing 8gb we got less and fro my view bd phone
591,purchage from amazom is better ideaThey provide good serviceNext time I will purchage from amazon.com ... .. .
592,very good
593,this is an excellent product n the best smartphone i have ever used before. it is better than any of the samsungs.
594,i love this phone for its sheer simplicity to operate and its quality quotient. a must have phone.easy to afford also...
595,"Hai Amazon.i n!!!!!First of all i thanks because I got this phone within the 24hrs with fast delivery..fare packaging.....When i was open the phone box i was stunning is lovely design and speed.....Little bit getting heat while when charge up initially otherwise is so cool to use with App store,Facebook,Whatsapp,etc......TRUST Amazon.in to buy best productsThank you amazon............"
596,Thank you amazon for wonderful service - Got my phone in a day - Good. thanks!Would love to shop again.Sachin
597,Got an amazing deal during Republic day sale(26th Jan) on Amazon for only Rs.24k last month and received it within 2 days
598,Best Mobile i ever get. j u s t  a w s o m e  p h o n e
599,I have some problem in the mobile. Now i am thinking y i have decieded to go online instead of purchasing from showroom😥😡😡
600,Best service and my phone is working well. So far haven't any issue. Best part is amazon provide what they promised.
601,"Not faithful,I have bought it by 15k, but it is like 2nd hand mobile. Single and major issue is heatup."
602,What can I say! Its an iPhone.......
603,whenever i use internet the battery goes down very quickly the phone hangs several times a day . i have learnt a lesson never to shop from amazon
604,Charger and headphones r not working properly cheap product phone full of deefects....eveen touch not working properly....waste of money
605,Is it unlocked? I've an airtel sim card which i am currently using with my nokia phone.Can i use the same with iphone?
606,Simply love I phone. Delivered in time and no problem at all superb phone you should buy I phone from amazon. 10 out of 5 stars:)
607,iPhone s getting heat while charging.Otherwise it's perfect.On time delivered by AZ.Thank you
608,The product delivered to me was defective. Had poor voice quality other features looked okay. I'm ordering again. Hopefully will get a better piece.
609,Dident get d bill
610,"The instrument and charger is getting hot while charging,sometimes complaint of hanging also.Will anybody listen??"
611,Battery backup has issues. Have to take the phone to service centre now.
612,Vwr efficient
613,Worst performance i have ever seen.  U need to carry power bank to use this phone.
614,Received genuine product .....very happy :)
615,Best value for money deal at ₹16999
616,Of course we cann't name for IPhone. But choosing 8GB is definitely a mistake. Half of the 8 GB is occupied wit OS utilities itself.
617,Nice product...deliverd before time...nice packaging...1 mnth over but still not recieved the cashback...phone is excellent overall except its poor battery only 1430 mah...hardly works a day..otherwise nice deal😊
618,Got a faulty phone and returned it
619,Very poor battery life ...regretting already !
620,because updation very slow and memory only 8 gb
621,Apple iphone 4S is Awesome Cell Phone.....
622,"Good product, its no need any comment."
623,device memory is very less 8 GB shown but 2.5 GB we get
624,Best mobile and best site.I like it
625,POOR QUALITY
626,Pethatic service... No battery backup...there's two speakers but one speaker is not working
627,Super product... Nice one
628,the product is not cdma total time waste fake comitment
629,Please come to my home to update my I phone I am not  getting to download any apps
630,ITS GOOD BUT NOT SO GOOD
631,Excellent phone and excellent service from amazon... Cheers
632,Apple always the apple...don't compare any brand with this
633,Great deal and the great service by amazon
634,Got the best deal on amazon.best experience
635,But need to know more about the Gurantee provided by Amazon/Apple.
636,Nice
637,DONT BUY IT PLEASE ITS JUST TOO SLOW. THE SPACE IN LOW JUST DONT GO FOR IT WASTE OF MONEY.
638,it is good.
639,Apple is apple
640,It's gr8I have iPhone 6 but iPhone 4is also gr8
641,works very very slow...please dont pur***** it
642,"such a bad experience ,naver buy this product"
643,"Heating problem,....less internal memory..."
644,the phone is received is damaged peace..
645,Nice
646,Other than heat up . This phone rocks
647,Cheap and good
648,So so
649,very good
650,"i got the fone very late.it is ok , but for occationally the slide button doesnt respond.. tell me and advice whwt to dothank youdr sasi"
651,"I got a iPhone 4s with its weight more than any other 4s, and vibrate button is lose, not at all satisfied..."
652,it is a awesome experience touse iphone
653,"phone was getting very much heated even on talking for 15 min,not worth buying ,is this the way amazon operates in India,"
654,Very nice mobile phone.
655,Nice & genuine product. Go for it.
656,best product
657,Faulty product
658,Best android
659,I m unsatisfiedit had some hurdles which I required its Paper BillPlease send a Soft copy of Invoice
660,Today i see your add in news paper in gujrat samachar just 9999 and this time 12000 above but y.......uluu mat banavo...froud..... iphone 4s
661,delivery was amazingly quick. was delivered a phone manufactured in sep2014. looks great. will post more after using for sometime
662,Hey.. I got iPhone 4s on roadMay I use it or how can I use.. N unlock the apple I'd n all locks
663,"I am using this past one year, when i am using more than application is getting too hot , i feel that hot in hand ."
664,Nice phone with a proper pack and non activated phoneat such a great price
665,but 4S is gettinbg very hot after charging/ in 30 min usage. suspected problem with battery cell
666,don't recommend amazon for phone bad service no replacement offered b b b b b  a a a d d
667,That model before 2 months you offer 13299/-  but recently you offer is very high
668,"This is one of the Excellent Mobile nice product nice price.......Delivered as expected.@Thanks ""AMAZON"""
669,V.nice happyyy with d product ...its always safe n pocket frndly in amazon compare to othr sites :) :)
670,I bought my first iPhone and that was 4S. I got the delivery late (more than 12 days) but when i received it i found it to be very good looking phone which made me forget the delay.Later i discovered that one of the speaker wasn't functional when i tested it by pressing the other speaker. I was highly disappointed as because it was more than a month & i was helpless.Very bad experienceHighly dissatisfied..
671,Everything is good apart that it gets heated specially during charging. Rest everything works fine.excellent service ! ! ! !
672,nice first experience with iphone! value for money and touch is just superb and unmatched by any competition.Only issue is with battery life. It does not last even a day with minimum voice and data usage! Not sure why apple did not address this in 4S ??????  ipod and ipad have excellent battery back up with my previous experience.
673,I like to take two mobiles by emi basis cn any 1 plz suggest me hw
674,Very beautiful stunning looking phone...Positives:Latest iOS....Awesome Display...Plays all the latest games smoothly...No LagReally really great camera and listening to music is always a pleasure.Negatives:Need to keep a eye on battery when playing games.... (completes one and half day on moderate usage...)3g network drains battery more quickly
675,HiiHow much is warranty periodof phone ?
676,I got defective phone.
677,This model is fresh piece are used piece??
678,"Delivered on time, 100% genuine product"
679,Phone have some problem and I was not able to on it.
680,"Super, I m loving it."
681,Not a good phone and very high price 13600 is very high for a 4 year old phone . it should be below 10000 rs price bracket. i will buy if it is below that than i will give 5 star
682,good
683,Good experience
684,Good
685,I m in USA . I want pay by credit card it doesn't go through.
686,Almost fake phone. Neither the camera works properly nor the phone . And it hangs too much. Apart from this the net connectivity is worst.
687,this is not expected from  amazon......i hate ..
688,What the heck!!Iphone 4s 8 gb of 20 kAnd iphone 5s 16 gb space gray of 21 kAmazon plzz look into the matter!!😆😆😂😂
689,Best
690,Just but the iphone 4s. Really like the phone. Only i just deliver a phn with gift & gift wrap option. Expected more from amazon but no worries phn will work fine.Thanks
691,No good
692,"Wanted to purchase Iphone 4S am confused after reading so many Negative feedbacks, the issue been raised by customers is that handsets sold here are used/refurbished with pre-existing issues.Any way to confirm if Iphones sold here are Genuinely New and not refurbished ones.Once confirmed I'll make up mind for purchase. Thanks"
693,Very disappointed. ...want my money backI bought apple 4s but it was tempered....totally dead......fraud people.....will send legal notice
694,I am very sorry to inform you that I met a very bad experience in doing shopping with you. First of all the courier company didn't deliver the package to me on time. The gadget kept lying with the local courier people for three days. They didn't even think of informing me. Secondly the phone camera didn't work at the timing of opening of parcel. Now I am in a contact  with apple people for replacing or repair of my gadget. See the irony all my charm of getting new phn has gone. Thanks for great experience.
695,awesome...
696,i wish good.
697,It's awesome to use I phone 4's it's application is good
698,"I was too too excited to open the sealed box of Apple 4S. but when I turned it on, all my excitement turned into agony when I saw vertical lines showing on the screen all the time. I rushed from one service center to another and have given it for replacement.Mind it- only the handset  will be replaced not the boxes. the sr number on the bill and the box will be different from that of the handset.very depressed"
699,unable to buy is buy button is not working
700,Super offer
701,Not good mobile
702,GOOD
703,good
704,Excellent
705,Is it cdma also
706,"May be it's time to stop low class iphones manufacturing. Apple pushing new OS updates just like it's still supporting older devices. But those updates are heavy, and older devices feels heavy when updated. No matter how much space phone have. Still performance lags. Faced few software issues and iTunes issues. Hard to find solutions. Finally it made me to factory reset my phone."
707,"Posting this review after several years when I sold the phone in 2016 April for 4,500 Rs to dealer for a discount on new model 6S.During all  these years, iPhone 4S served well and it was first used by me for  year, then given to my wife and then to my sister!Unlike many who say warranty is not applicable if bought online. Well Apple warranty starts from Sale date. It was showing correctly the date of purchase and validity on Apple Support Site."
708,"Delivered on the same day as I expected.Do i even need to say about the phone? It's an iPhone.Gifted it to my dad, who apparently doesn't need a phone that has does all crazy stuff, just talking, messages and photos; he loves using it.Fits my bill. Price did not drop as I expected. It was only an 8 GB variant, so taking away a star."
709,"Its was gift for my husband and am happy he loved the product. Apple no other brand can beat this on quality and performance.Amazon delivery was just next day, so that was really good. Am happy to buy product with Aamzon and found their service Super Excellent.Geeta"
710,"A good Apple product. You know the difference when you hold Apple in one hand and Samsung in another. Samsung Android product would have many features and useful applications at a lower price, but the look and feel of an iPhone is a different experience altogether."
711,"very useful, doesnt let me feel its old at all... Good for accessing office email, chat application other than personal...basically a small, handy, not so flashy, yet fast adapting OS 8 makes it easier to cope up with present applications"
712,APPLE PHONE IS SHOWING PROBLEM WITHIN 10 DAYS OF USE I HAVE GIFTED IT TO MY SISTER ON HER MARRIAGE BUT NOW SHE IS DISAPPOINTED WITH THE PERFORMANCE.WHETHER THE PRODUCT IS GENUINE OR NOT I AM NOT SURE.NOW I' VE TO TAKE IT TO APPLE STORE FOR SERVICE AS PER CUSTOMER SERVICE ADVICE OF AMAZON
713,Worth the price
714,Good
715,"Worth buying, its awesome"
716,A very nice product in its class.Excellent sound quality. Camera is very nice. Product Finish is elegant.NB:Amazon always provides original piece if bought from Amazon Fulfilled seller.
717,good price
718,Good priduct
719,After using it for one year am reviewing it so that people having the myth of online product should go off. It's perfectly working fine and no issues till now.
720,"Genuine Seller, no issues at all.Just want to share that the Internet keep losing the connection and that's irritating, i use 3G Idea, don't know if its manufacturing issue or BAU facing issues for all Apple users."
721,"not bad...for the money I paid...just an another Iphone...gets stuck or we can say ""hang""...for what you spend you get the same...itunes a big liability...cannot do things what we can do with an another phone...my next phone definitely not an Iphone..."
722,It fits in your palm. Extremely good display screen and fonts. Satisfaction reached to its max once started using it. Genuine product from Apple on Amazon
723,good
724,"Fast delivery and it works well , also got it at lowest price. Actually it was purchased for my friend . Now I am searching iPhone 5s for another friend who is waiting for price down. Thanks Amazone India"
725,Nice product and prompt delivery. No issues and using almost for 2 years now.
726,"Very good delivery and also the mobile was awesome......""If it is not an IPhone, then it is not an IPhone"""
727,Apple quality is known to every body. But the battery life is horribly poor. Lasts for less than a day even for normal use.have to charge twice a day. Mobile charger sales will pick up. By the way I am an apple fan.
728,Costly phone
729,all good but only problem with apple is no extendable memory and their each software update itself is for 1 gb
730,"Best in its class....Apple,the brand's name tells it all"
731,Good product at a good price.
732,Best as expected....got delivered two days earlier.....
733,Nice phone..
734,Very Good Phone based on Hardware
735,Like always Delivery was quick and packaging was fine. It was a genuine product and  there was no problem with its workin. Excellent product at an excellent price.
736,"Received phone in excellent condition, in original sealed packing. Checked online and the phone is genuine with warranty by Apple India. Great value for money."
737,"Apple is Apple wonderful device no second thought , but since its 8 GB just Space issue , i suggest if your using more the space will not support you , hence go for bigger one."
738,3 years still performing well
739,I purchased it few months back & totally satisfied with item received.Thank you.
740,sorry apple  or amazon .... the phone is not working properly.....
741,very bad.do not loss ur money.
742,Great to use! Good functionalities at a decent price. Will look at upgrading in a year
743,"Almost every details are good.But, tends to be slow after the IO8 update."
744,"Ooh. I purchased 4S but i never know that the network issue in Iphone 4s is very big problem, When you calling hanging and heating issue . Very disapponted"
745,"In Start Product looked nice but now after 2 months charger not working , Battery life is another problem. Camera is good."
746,Good One but need latest one.
747,A perfect phone for anybody who's looking for a device which manages everything and anything with a software so user friendly you cannot resent it.
748,Thanks for the product. but facing some software issues in the product but it can be handled using apple services.
749,I am using it since 4 months Very good phone no need to say more and genuine product delivered by amazon
750,Super product delivery ontime. nice I am happy with product
751,good really worth
752,:) great
753,Phone heats and hangs sometime.
754,very good
755,good one
756,Awesome 😎 👏
757,Very well priced
758,Purchase in good price
759,"Awesom ....best phone on universe. Good phone under under 24k, launch in 2011 but still goin strng. Iphone at it best!"
760,"I like it very much and  find it  the most reliable product. I would be very happy if you could offer Apple IPhone 5S at similar rates.Thank,"
761,good.
762,It was best price in India I have 18 apple user in my familyAmazon gives always best price and service
763,A++
764,Nice phone
765,NO defects
766,just love it
767,
768,sim jack issue
769,Very nice phone indeed
770,Evergreen performaner and competitor for updated smart phones.
771,Perfect .... 4 is Still better than other phones.....
772,Charging goes on decreasing rapidly for only a hour.
773,Nice phone nice look very fast delivery
774,iPhone is iPhone. Quite satisfactory product
775,Device is slow....
776,Nice phone.
777,after 1month the phone dispay had a white border around it.. plz help me how to replace it... how to claim the warrenty
778,Too good -Apple after all. Reached as promised and one could track it during the transit too. Thank you !
779,excellent product
780,Thanks! it was good as expected.
781,Good priceBest deal
782,xlent
783,dealer make us fool this product is repaired
784,Very good phone but go for higher ROM
785,Super phone nice and good condition
786,"good product, best service from amazon."
787,Good
788,Good phone
789,Great phone
790,Cool.....
791,Meets all expectations
792,nice
793,It may not satisfy everyone with mere 8 GB. It's a very good phone.
794,very nice😊
795,Battery not longer 2 hours backup sorry
796,@ nice product
797,Not working properly
798,very nice...i am complet my dreams to i have iI Phone...
799,Not good it was faulty and i got my refund on time.
800,Super Deal.
801,Good
802,good
803,Nice original product from AppleGod to use
804,great offer by amazon..i m very happy
805,good product
806,Extremely good
807,good product
808,just ok..
809,Good.
810,"It was nice, giving you 5 star"
811,Happy with the product . Also one day delivery :)
812,good
813,Awsmmm
814,Not a good product
815,Quite satisfied.....
816,"Within 2 months of purchase, product not working properly."
817,Thanks I was amazing Mobile.
818,Good Product
819,nice
820,Good phone
821,"Great buy, great deal!!"
822,mast phone hai
823,Worth for money
824,It's a good mobile
825,good!
826,Good
827,Nice phone
828,finally i got my dream phone..worth buy it.
829,awesome product
830,Excellent Responce
831,gud one
832,Too little memory...
833,Good product.
834,Good Phone :)
835,Superb
836,ok
837,Awesome phone
838,Delivery on time.Courtious delivery person.
839,Loved the phone
840,Product is of good quality & it reached on time.
841,Good Product
842,I love this .. Great phone
843,Nice
844,Working  fine
845,ok
846,Its nice
847,Nice product..
848,Too good
849,Worth buying
850,Ok
851,awsm phone
852,this is working very well
853,Excellent as always
854,Super
855,Nice phone
856,ok
857,awesome
858,Perfect
859,good
860,"Apple iPhone 4S (White, 8GB) is a nice phone from apple. It is also an affordable phone for the beginners with affordable cost."
861,good one
862,this is good instrument for rough tough use. i liked this phone.
863,Good
864,This is the best phone ever created by mankind. Package was crisp. I reccomend it although pne woth 16 or 32 gb. Bpught this on EMI. SAFE?OFCOURSE!
865,Do i need to write a review. Every one knows i phone z incredible. Awesome.
866,Nice Phone but little bit hot after using
867,Satisfied with the product
868,Product is good !!
869,nice product.
870,PHONE GOOD. BATTERY BACK UP VERY POOR.
871,"Good feel and build quality, but I had heating issue while charging for 30 mins odd and this heating issue also persisted while speaking for about 20-25 mins, which was bad. Also, if you keep 3G on 24*7, it has lot of battery drain. I had this issue and had to carry the cable to office and charge it very often. So, I decided to return the phone back. This was my first Apple product :-( Hope this issue is rectified in 5c and 5s ?"
872,k
873,"Pros: Nice phone overall,smooth interface,build quality is premium, excellent camera, high res screen, compact size, hardly any other phone is available in this size in this segment.Cons: Very limited space - if you use many apps you may find space available to be a problem. Only 3 GB is available to the user. One solution is that you use icloud storage for pics and videos. Laggy at times - specially whatsapp is particularly slow. Other apps run smooth. Glass front and back can shatter easily - so covers are must. Low battery backup - you will need to charge twice a day. Screen size is small for videos.Overall: Nice if you are not into gaming, many apps and videos. For people who want premium quality in budget price with some compromises."
874,"The best smart phone ever...Ithas only 1ghz procrssor and 512mb ram but it works as fast as 3gb ram and 2ghz multicore processor....,,The only disadvatage is it gets heats up very fast this is due continuous working of hardware for smooth user interface.... I prefer ios rather than an android phone....since iphone is famous for its unhackable os and it provides high security for the user....."
875,"Excellent phone for all purposes. Camera quality is far better than latest smartphones of other companies. Shutter speed is too quick for taking perfect shots. Photo quality is little bad in low light (expected from any smartphone). Little difficult while surfing on net due to low screen size.Overall, still best phone compared to any HTC, Sony, Samsung and Motorola phones.Do not use this phone with any bumper or case, to enjoy its steel-cased beauty."
876,"I bought this mobile on October 10 2014.After 7 months the phone works well.Manufacturing cost of iPhone 4s 16gb is 12000 and add some more bucks for OS,TRANAPORATION& licensing .its value for money.i am using iOS 7 for this 4s 8gb .its really good.go for this mobile for first time apple products in cheap price & nice specification.GOOD OS ,GOOD DESIGN,GOOD CAMERA,GOOD PERFORMANCE,GOOD PRODUCT @ GOOD PRICE #14000#"
877,"I received my I phone,  in very good packing, phone is brand new, nothing any scratches,  I don't know way some people say iphone has heating problem ofcourse its heat when you charged it, every phone is heat, after 20 minutes continue using, or charging.Well I'm fully satisfied,  with packing,  and product.Spacialy in this price ( I can buy it only 13,400)So go for it,  it's better than others)"
878,"Good Phone,I mean AWESOME. Should have been 4 stars .Cons-BatteryBut since I am a #appleGeek couldn't really help it. :D"
879,Guys don't buy this by seeing tempting price...all these phones are either used or defected
880,Good Phone But After iOS 9 It Hanging Every Time....
881,nice phone
882,AWESOME
883,"fro these reviews i found that it is better to buy from showroom :) thank god i saved , i was about to buy :) lol"
884,RAM IS VERY LESS IN COMPARISON TO 2GB RAM
885,"The phone hangs a lot, starting with the screen unlock function. came with a lot of smudges. would not call it a sealed pack. otherwise okay."
886,"Got it not knowing much about apple, was a good buy and apple experience. Here is the experience, apple is big on planned obsolescence maybe that is why I got it for $55, it is plenty fast and was selling new about 5 years ago, it is stuck on ios 9 while a lot of the apps you want are ios 10 in the store (travel, parking, etc) though most games are OK so far. You know there are ios 9 apps in the store but they don't offer them with a warning, you just have to use safari for apps like kayak or expedia, at the price I paid it didn't take much soap to wash the bad taste out of my mouth on my first apple purchase."
887,"I was never able to use this phone because the provider never fully unlocked his phone from his ATT provider. I tried three avenues to resolve this issue.  Issue never resolved. I had spent my last bit of cash on this item and went without a working phone for over a month, as a result.  I never recovered favorably from this hardship"
888,"It was supposed to be unlocked however I put in my tmobile sim card and tried ti activate it on my account with the help from t mobile and we could not get the phone to work at all.  They even tried with a brand new SIM card and it stl wouldn't work.  They said that it couldn't be used on t mobile, so I ended up paying to ship it back and I'm still looking for a decent replacement phone for my current one."
889,"I was able to not give this item/seller any star, I would do it. My phone stopped working after two months after I start using it!!... Since it was not covered any more under amazon 30 day return policy, I contacted the seller but they never answered my emails. I called apple customer service for my one year warranty, I made an appointment with apple store and provided them with phone serial number. I was shocked when they said that the serial number on the outside is different from the one inside the phone, and the original serial number was for a different phone (a black phone, non GSM, with 32GB)!! even though I bought it as described (unlocked GSM 8GB). which means this is FRAUDULENT PHONE!!"
890,Excelent product
891,Excellent.Thank you!
892,Bought new it’s came old 2 months latter finished
893,excellets product
894,lasted only 1 month
895,Me envío un IPhone 4 con Ios7 NO LO RECOMIENDO !!!! El vende iPhone 4s y envío fue un iPhone 4 que ni whatsapp se puede ya instalar ! No lo recomiendo para nada
896,As described!
897,Very satisfied with this cell phone purchase. My daughter's first phone and she loves it.
898,great
899,Good phone just kept freezing up on me sometimes
900,Looks good. Works good. Accessories are really bad. I'm using my old original USB to charge the phone. It shows a label with  Verizon locked on the back of the phone. But it works fine for T-mobile. So far it's working fine. Let's see what happen
901,Use it every day. I like it!
902,Work great...I think I make a good deal I encourage to buy this iphone... I feell very comfortable with it
903,not for every one
904,EXCELENTE
905,Came in as expected.
906,Thank you it was faster then I expected I really appreciate the offer hopefully I will buy again soon. Looking forward to actually. It looked perfect. My moms gonna love it.
907,like wish was a little cheaper
908,I give it 3 stars because it's a sprint phone & I needed a t-mobile. I even contact the seller b4 I purchased it to make sure it will work for T-mobile. I'm so mad because it was a gift to someone
909,"Just as described, brand new ready to be activated at my local AT&T store, no problems, up and running perfectly."
910,GREAT!
911,I got this phone and it is not Verizon and is not unlocked and doesn't work with straight talk!
912,It didn't work right like it had a defeat or had been damage it had to be power on and off  a lot won't ring sometimes even when I sit a tone
913,perfect
914,iPhone charger doesn’t work phone says unlocked but isn’t
915,i chose white color. when i received black color Iphone. I am very sâd
916,Aforable
917,Very slowly. Not what I wanted..
918,excelente
919,This is exactly what our granddaughter wanted
920,The head phone the battery don't last long
921,Was wrong carrier then advertises
922,It's a good product.
923,It works great
924,"I love this phone, recieved it in perfect condition and it works with my car audio, even reads texts!!!"
925,The best!
926,Great phone only down side is it dies pretty fast
927,Excelent
928,Great is very good condition .
929,Excelente
930,Exelent !!!
931,Thanls
932,Bad quality and servise .I m happy I found my tracking number .not recomonded
933,outstanding
0,good phone but wrost prize reduction.. its my review if you like to post it go ahead otherwise delete it i cant fabricated words for enrich FKREAD MORE
1,"Absolutely amazing device. It's actually my first iOS device and everything just WORKS. No lags, no issues whatsoever. Camera is brilliant, takes much better pictures than expected, especially for the price. There are Android devices with quad core chips and large HD displays in this price range but you should go by experience and not just raw specs. Even though this has much inferior chipset and ""only"" 512 MB RAM the UI is butter smooth and there is no stuttering or lag anywhere.The di...READ MORE"
2,"Always wanted to buy iphone 4s; because of its great looking  glass back...pun intended.Never liked TV like mobile phones with big screens.Was using HTC One X. Though it was a good phone; but i found it difficult to carry in my pocket.And like all androids; it became a liability after 8 months, with frequent hang ups and battery issues.Wanted a compact; reliable and good looking phone.Ticked all the right boxes for me; so went for it.Been using it now for more than 8 months and i have n...READ MORE"
3,"this is my 2nd iPhone previous one iPhone 3gs now 4s. ya the cost is high but it demands. (Brand is the main part and sure you wont be disappointed)  this is phone which has all the feature that other phones have, the built quality is much better than others. the main feature of it is the music, unbeatable by others, even we put EQ in other phones like s3 or Nokia lumia, they cant even touch the standards set be apple iphone in the stock head set. if u really want to listen to the music on ...READ MORE"
4,yes . .its old. . .its discontinued?????? I don't think so. . .Everyone told me not to buy it and better to go in for Iphone 5c. But I was so impressed with the price 14500/-. and I was suspicious too. But I was so confident on flipkart that they would accept returns. hence i did the order. The usual guy who delivers it to me walked up my steps three days well ahead of the delivery time. I was very happy to have the product in hand. The first thing I did was to go to a authorised I store (to ...READ MORE
5,"Since last 2 months I am using Iphone 4S. It has attractive looks and perfect design. Awesome feel while handling this phone.Phone is more stable, processing is fast, no lags observed.Battery life not so good but ok, drains very fast while using internet.4” screen is perfect. Good  for those who hates large screen mobiles.8GB  memory is  more than sufficient. The Screen is great.I Feel proud to have a Iphone.**  And Flipkart, you are great , For me “Online shopping means FLIPKART”READ MORE"
6,"The iPhone i received from WS Retail was 100 % genuine with proper bill and was delivered in good packing. I have checked phone's serial no on apple website and it does show up as genuine with full one year warranty. I am no apple fan boy and always used Nokias and androids but trust me guys even though iPhone 4S is a three generation old phone with the recent announcement of iPhone 6 but it still holds its charm, looks very premium. In terms of everyday performance it is definitely fluid a...READ MORE"
7,Genuine sealed with 1 year apple warranty checked serial number on apple website and the phone is brand new un activated. Best price better than apple store too.Just awesome!! and the fastest shipping I have ever seen!READ MORE
8,Not worth it. For a few extra bucks you can get iPhone 5 or samsung galaxy S4. If you still want to buy it I suggest to wait abit longer as iPhone prices drop usually when it launches a new cell in the market. Hope this helped. Overall it's a good phone just over-priced.READ MORE
9,"I just recently purchased this phone. And now it is not working properly. The battery dies in an hour and it gets heated so fast. Is this something normal. If so, i would not like to recommend this product to anyone. Please guide me what to do next and Hope for you fast response.READ MORE"
10,"Firstly .... Flipkart hats off for timely delivery of the phone. The phone never hangs or lags. very nice premium feel while holding it. battery backup is  quite disappointing, but it can be compensated..after all you are holding an I phone in your hand.. the price at which Flipkart offered the phone was great. Overall a great package... thumbs upREAD MORE"
11,"After scoring good marks in engineering, my parents bought me an Iphone 4s. This is my first iphone.So, I would like to share my experience of IPHONE 4S:1. Perfect size, not so big not so small, easy to handle.2. Very attractive and look smart.3. It has ios 7.1.1 which looks awesome and works smoothly.4. Very easy to operate.5. It has 8 MP camera and 0.3 MP front camera.6. 8MP camera of Iphone 4s is much better than the 13MP camera of Samsung and Micromax.7. Very bright and clear ret...READ MORE"
12,"This is the best value for money iPhone despite to spending too much money for 5s (5c is never being in my list). Its has the right amount of adequate power and performance so don't be confused with quad core and octa core processors alike.this device is running on completely different customize platform.Strictly no for heavy gamer only with 8 GB model, this has only 6.1 GB user space.All the applications runs smoothly even for heavy games also, like Asphalt 8.It has 800 MHz dual core proc...READ MORE"
13,"Apple products are classy. I have been using an iPod and an iPad Mini for over an year and am really happy with the devices. But the phone 4s is not worth it.4s is one of the outdtaed apple devices being sold in 3rd world countries to the junta who are crazy about the brand but cannot afford the pricier models (no offence intended, i am a part of the group). But before jumping the bandwagon, take a look at the specs. The A5 processor is outdated, the device UI is laggy most of the times. ...READ MORE"
14,"Atleast for me Flipkart especially WS retail is something u can trust without any hesitancy. I am purchasing expensive perfumes and have also bought Samsung S4 and I phone 4S and both all the products were genuine and original. Needless to say delivery is before time and efficient.After reading some negative reviews for I phone, I was a bit hesitant but i went ahead and booked I phone 4s. The product was superb. I must say i bought S4 too and the mobiles are working better than my friend's m...READ MORE"
15,"Love the way flipkart delivered the product, Thank you flipkart..I was using my android phone for past 4 years, which was good till then i started using iphone, when ever there was an argument between android and iphone used to participate for  android. which i no longer want to do, if you are planning to change your phone - iphone 4s is a best buy.. Nothing can beat apple's interface, touch sensitivity, this product made me write here and this is my first review on flipkart.Go for it, us...READ MORE"
16,"I have come through Nokia,LG,Sony and lots many but this time I feel I should test Apple Product and now I can say This is the best Mobile I ever used.I don't want to go for high like 5s only for the shake of Space and Camera. I don't like to use my mobile as Storage Device or SLR Camera. So I decided to go for 4S, it has every facility I was looking for as smart phone. If you are in Dilemma between Apple and other Product, Don't think, go for it.READ MORE"
17,"No other choice stands against iPhone. Perfect screen size, performance, user interface is too good as well as user experience. Value for money. Very Happy :)READ MORE"
18,Earlier I was using a windows phone & was quite satisfied with that until one day there was a small problem with touch & I had to visit the Nokia Care for getting it repaired. The Nokia guys kept my phone for good 25 days & finally when they returned my phone after replacing the touch(at least they claimed to have done it) the phone was all covered with scratches. I didnt accept that & requested for a replacement. Finally I got the phone replaced & later the problem with touch started again. ...READ MORE
